index,radius_AU,mass,size
307,1.265010e+00,0.000000e+00,0.000000e+00
308,1.265085e+00,0.000000e+00,0.000000e+00
309,1.265010e+00,0.000000e+00,0.000000e+00
310,1.265010e+00,0.000000e+00,0.000000e+00
311,1.265010e+00,0.000000e+00,0.000000e+00
312,1.265011e+00,0.000000e+00,0.000000e+00
313,1.265011e+00,0.000000e+00,0.000000e+00
314,1.265011e+00,0.000000e+00,0.000000e+00
315,1.265011e+00,0.000000e+00,0.000000e+00
316,1.265011e+00,0.000000e+00,0.000000e+00
317,1.265011e+00,0.000000e+00,0.000000e+00
318,1.265012e+00,0.000000e+00,0.000000e+00
319,1.265082e+00,0.000000e+00,0.000000e+00
320,1.265012e+00,0.000000e+00,0.000000e+00
321,1.265012e+00,0.000000e+00,0.000000e+00
322,1.265012e+00,0.000000e+00,0.000000e+00
323,1.265012e+00,0.000000e+00,0.000000e+00
324,1.265013e+00,0.000000e+00,0.000000e+00
325,1.265013e+00,0.000000e+00,0.000000e+00
326,1.265013e+00,0.000000e+00,0.000000e+00
327,1.265013e+00,0.000000e+00,0.000000e+00
328,1.265013e+00,0.000000e+00,0.000000e+00
329,1.265013e+00,0.000000e+00,0.000000e+00
330,1.265014e+00,0.000000e+00,0.000000e+00
331,1.265014e+00,0.000000e+00,0.000000e+00
332,1.265014e+00,0.000000e+00,0.000000e+00
333,1.265014e+00,0.000000e+00,0.000000e+00
334,1.265014e+00,0.000000e+00,0.000000e+00
335,1.265014e+00,0.000000e+00,0.000000e+00
336,1.265014e+00,0.000000e+00,0.000000e+00
337,1.265015e+00,0.000000e+00,0.000000e+00
338,1.265015e+00,0.000000e+00,0.000000e+00
339,1.265015e+00,0.000000e+00,0.000000e+00
340,1.265015e+00,0.000000e+00,0.000000e+00
341,1.265015e+00,0.000000e+00,0.000000e+00
342,1.265015e+00,0.000000e+00,0.000000e+00
343,1.265015e+00,0.000000e+00,0.000000e+00
344,1.265016e+00,0.000000e+00,0.000000e+00
345,1.265016e+00,0.000000e+00,0.000000e+00
346,1.265016e+00,0.000000e+00,0.000000e+00
347,1.265016e+00,0.000000e+00,0.000000e+00
348,1.265016e+00,0.000000e+00,0.000000e+00
349,1.265016e+00,0.000000e+00,0.000000e+00
350,1.265016e+00,0.000000e+00,0.000000e+00
351,1.265016e+00,0.000000e+00,0.000000e+00
352,1.265017e+00,0.000000e+00,0.000000e+00
353,1.265017e+00,0.000000e+00,0.000000e+00
354,1.265017e+00,0.000000e+00,0.000000e+00
355,1.265017e+00,0.000000e+00,0.000000e+00
356,1.265017e+00,0.000000e+00,0.000000e+00
357,1.265017e+00,0.000000e+00,0.000000e+00
358,1.265017e+00,0.000000e+00,0.000000e+00
359,1.265017e+00,0.000000e+00,0.000000e+00
360,1.265018e+00,0.000000e+00,0.000000e+00
361,1.265018e+00,0.000000e+00,0.000000e+00
362,1.265018e+00,0.000000e+00,0.000000e+00
363,1.265018e+00,0.000000e+00,0.000000e+00
364,1.265018e+00,0.000000e+00,0.000000e+00
365,1.265018e+00,0.000000e+00,0.000000e+00
366,1.265018e+00,0.000000e+00,0.000000e+00
367,1.265018e+00,0.000000e+00,0.000000e+00
368,1.265019e+00,0.000000e+00,0.000000e+00
369,1.265019e+00,0.000000e+00,0.000000e+00
370,1.265019e+00,0.000000e+00,0.000000e+00
371,1.265019e+00,0.000000e+00,0.000000e+00
372,1.265019e+00,0.000000e+00,0.000000e+00
373,1.265019e+00,0.000000e+00,0.000000e+00
374,1.265019e+00,0.000000e+00,0.000000e+00
375,1.265019e+00,0.000000e+00,0.000000e+00
376,1.265019e+00,0.000000e+00,0.000000e+00
377,1.265020e+00,0.000000e+00,0.000000e+00
378,1.265020e+00,0.000000e+00,0.000000e+00
379,1.265020e+00,0.000000e+00,0.000000e+00
380,1.265020e+00,0.000000e+00,0.000000e+00
381,1.265020e+00,0.000000e+00,0.000000e+00
382,1.265020e+00,0.000000e+00,0.000000e+00
383,1.265020e+00,0.000000e+00,0.000000e+00
384,1.265020e+00,0.000000e+00,0.000000e+00
385,1.265020e+00,0.000000e+00,0.000000e+00
386,1.265020e+00,0.000000e+00,0.000000e+00
387,1.265021e+00,0.000000e+00,0.000000e+00
388,1.265021e+00,0.000000e+00,0.000000e+00
389,1.265021e+00,0.000000e+00,0.000000e+00
390,1.265021e+00,0.000000e+00,0.000000e+00
391,1.265021e+00,0.000000e+00,0.000000e+00
392,1.265021e+00,0.000000e+00,0.000000e+00
393,1.265021e+00,0.000000e+00,0.000000e+00
394,1.265021e+00,0.000000e+00,0.000000e+00
395,1.265021e+00,0.000000e+00,0.000000e+00
396,1.265021e+00,0.000000e+00,0.000000e+00
